id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
116171,2018,2195600,39382,3290159,3290159,0
187718,2018,2268200,35458,4253723,4253723,0
260334,2018,2740000,38252,456901,456901,0
153447,2018,2951440,102171,14883750,14883750,0
102168,2018,3091720,73214,3097328,3097328,0
151332,2018,3095176,71514,2135051,2135051,0
92611,2018,3152608,53408,1040339,1040339,0
151447,2018,3219000,54881,1297610,1297610,0
152795,2018,3398200,8126,1517663,1517663,0
171200,2018,3486600,90240,46020641,46020641,0
222795,2018,3490600,106413,1052957,1052957,0
140854,2018,3566700,37816,1523515,1523515,0
155896,2018,3609000,22000,1636820,1636820,0
151915,2018,3621200,94294,1568025,1568025,0
152681,2018,3627388,94265,2406845,2406845,0
141911,2018,3700900,46319,627447,627447,0
141186,2018,3702400,75434,443394,443394,0
129595,2018,3752200,107216,834005,834005,0
149329,2018,3755800,53989,1674171,1674171,0
124108,2018,3757000,103659,2556414,2556414,0
92386,2018,3772040,62492,2083085,2083085,0
153956,2018,3896480,85783,413441,413441,0
252009,2018,3954120,58706,1913402,1913402,0
187750,2018,3981000,68339,2127305,2127305,0
160114,2018,3990600,68339,1088279,1088279,0
167944,2018,4120000,49045,1300826,1300826,0
119459,2018,4284640,128408,2113755,2113755,0
251926,2018,4290080,61208,1376288,1376288,0
118131,2018,4403120,142989,2226975,2226975,0
150310,2018,4435000,85562,759622,759622,0
95616,2018,4516080,178489,153782,153782,0
118030,2018,4586520,141218,264991,264991,0
126408,2018,4621800,41721,1721946,1721946,0
125872,2018,4637640,21925,1310784,1310784,0
124933,2018,4690600,157231,2044456,2044456,0
19790,2018,4697920,54207,1975733,1975733,0
161950,2018,4717480,122419,2064590,2064590,0
166960,2018,4763200,96721,977166,977166,0
220471,2018,4784400,83124,707032,707032,0
291472,2018,4794000,122132,991092,991092,0
151938,2018,4812700,155074,3286523,3286523,0
254571,2018,4823400,173658,2024741,2024741,0
118650,2018,4830300,112656,1214213,1214213,0
101840,2018,4850500,64831,954260,954260,0
293881,2018,4952000,163110,3068885,3068885,0
55164,2018,4957600,145121,1998950,1998950,0
161671,2018,4959840,147123,615267,615267,0
264473,2018,4970400,76663,2612902,2612902,0
187266,2018,4978040,85106,713879,713879,0
100630,2018,4986000,127184,338919,338919,0
127120,2018,5002000,165645,1090292,1090292,0
128197,2018,5009280,144784,3368820,3368820,0
23712,2018,5027648,115966,1002644,1002644,0
162327,2018,5044080,148013,2271861,2271861,0
159595,2018,5048800,220535,997928,997928,0
253038,2018,5097600,193025,826546,826546,0
151663,2018,5126600,136123,1163505,1163505,0
32038,2018,5177400,150888,128928,128928,0
105810,2018,5186440,127600,1772827,1772827,0
293818,2018,5216000,75539,1754757,1754757,0
153020,2018,5282300,230714,1395323,1395323,0
260054,2018,5304080,190734,872364,872364,0
34355,2018,5356000,85225,1796409,1796409,0
23707,2018,5388600,145400,2341447,2341447,0
131622,2018,5411320,104859,4563946,4563946,0
185412,2018,5414960,176233,2694032,2694032,0
219770,2018,5417000,58568,289995,289995,0
160866,2018,5424900,85606,1623440,1623440,0
98723,2018,5427320,47718,295059,295059,0
114776,2018,5462600,132594,3679053,3679053,0
167026,2018,5473680,125642,1853768,1853768,0
252519,2018,5489596,51353,126133,126133,0
23710,2018,5500000,140207,5425135,5425135,0
226335,2018,5566800,80679,2286865,2286865,0
119491,2018,5588800,143178,676315,676315,0
219731,2018,5595600,78705,5889133,5889133,0
122166,2018,5606000,123081,1028676,1028676,0
222830,2018,5616000,216553,2411503,2411503,0
151328,2018,5627728,194452,2740805,2740805,0
117896,2018,5630560,197865,875006,875006,0
207874,2018,5633000,6979,286694,286694,0
268532,2018,5643600,75445,1300020,1300020,0
244175,2018,5651000,128656,1240946,1240946,0
153172,2018,5680000,99308,887126,887126,0
129022,2018,5697800,89328,2959495,2959495,0
268309,2018,5715040,127092,1312645,1312645,0
154101,2018,5741000,153782,360813,360813,0
66145,2018,5762400,131445,3834461,3834461,0
18344,2018,5779000,118465,666062,666062,0
161935,2018,5793400,129081,832175,832175,0
142512,2018,5795200,138402,3542079,3542079,0
59488,2018,5835600,220832,22654699,22654699,0
21931,2018,5843284,168369,723232,723232,0
92262,2018,5853600,88099,5694091,5694091,0
151514,2018,5860200,168303,525647,525647,0
185472,2018,5886400,115550,1091334,1091334,0
124377,2018,5890000,153987,5874277,5874277,0
152520,2018,5895100,169271,522097,522097,0
71780,2018,5912800,78697,691823,691823,0
177696,2018,5918400,101537,875900,875900,0
248064,2018,5948800,149604,609557,609557,0
255949,2018,5953800,44555,135905,135905,0
23450,2018,6012000,118919,1364557,1364557,0
196528,2018,6013440,84040,2706595,2706595,0
129754,2018,6019200,179001,426795,426795,0
190047,2018,6048800,139730,8030739,8030739,0
117225,2018,6075000,138541,2135883,2135883,0
122778,2018,6090160,180360,9870901,9870901,0
153969,2018,6101520,132277,1001735,1001735,0
159628,2018,6108900,155676,1381887,1381887,0
20219,2018,6123000,88991,662695,662695,0
291470,2018,6130000,176735,1292243,1292243,0
167085,2018,6151400,70420,1857732,1857732,0
124119,2018,6167480,198317,4659353,4659353,0
103105,2018,6177400,49649,1383782,1383782,0
119821,2018,6198000,228375,424640,424640,0
147296,2018,6204080,155447,2434045,2434045,0
120710,2018,6204800,113182,3161357,3161357,0
