id_n,Year,CONS_Nonfood,vat,vat1,vat2,vat_diff
46224,2018,65203000,3810459,3810459,6448279,2637820
111128,2018,144804000,4136793,4136793,14349946,10213153
155310,2018,3650200,291272,291272,361732,70459
61751,2018,230965000,12722838,12722838,22814099,10091261
116321,2018,29125200,1533182,1533182,2836732,1303550
19021,2018,23374496,1508685,1508685,2316391,807707
41852,2018,19360000,1180667,1180667,1918559,737892
181437,2018,15978300,515632,515632,1583435,1067804
261141,2018,16521000,957793,957793,1632856,675063
197843,2018,523549100,46038280,46038280,51536397,5498117
233635,2018,16604000,436333,436333,1645441,1209108
15839,2018,12760000,814099,814099,1264505,450405
32358,2018,4787996,325541,325541,474486,148946
111983,2018,8170000,778721,778721,809640,30919
144391,2018,30607000,1616505,1616505,3001414,1384910
101132,2018,5687000,401351,401351,561297,159946
149497,2018,4702600,295771,295771,466023,170252
261712,2018,6168000,396099,396099,611243,215144
178902,2018,10308000,876928,876928,1021514,144586
229654,2018,49399000,2473514,2473514,4895396,2421883
52293,2018,21754000,1386793,1386793,2155802,769009
159469,2018,5204000,245766,245766,515712,269946
43623,2018,15196300,773171,773171,1503363,730192
52396,2018,22620000,1584991,1584991,2211892,626901
60130,2018,14468737,598658,598658,1385280,786623
77442,2018,10859500,759248,759248,1076167,316919
162324,2018,23090000,1609468,1609468,2273829,664360
167375,2018,18148600,1245676,1245676,1788600,542924
81954,2018,41733000,1984261,1984261,4096459,2112198
113397,2018,8100600,554321,554321,791168,236847
154101,2018,1685000,87901,87901,166982,79081
255533,2018,3027000,119514,119514,299973,180459
109363,2018,18320000,1658919,1658919,1815495,156577
234894,2018,13783200,1030452,1030452,1365903,335450
267820,2018,25304600,1404056,1404056,2507663,1103607
249592,2018,31696200,1848912,1848912,3141065,1292153
232527,2018,30511000,1923117,1923117,3020838,1097721
128685,2018,11051000,663369,663369,1084144,420775
99566,2018,9165000,319198,319198,908243,589045
49609,2018,9873000,586912,586912,975829,388917
102924,2018,37932000,2203171,2203171,3759027,1555856
231961,2018,18910000,1558135,1558135,1873964,315829
205678,2018,4487000,210090,210090,444658,234568
44123,2018,13484000,855423,855423,1336252,480829
128586,2018,46186000,3042144,3042144,4576991,1534847
242859,2018,26868000,1290667,1290667,2648423,1357757
274143,2018,8258000,276189,276189,818360,542171
84363,2018,30952000,1771892,1771892,3057901,1286009
26692,2018,16661000,670306,670306,1651090,980784
202540,2018,6278000,160144,160144,622144,462000
31384,2018,9786800,817766,817766,969863,152097
183631,2018,30307000,1862468,1862468,2996360,1133892
221840,2018,9213600,596141,596141,913059,316919
258330,2018,13959500,1151383,1151383,1329365,177982
226955,2018,20061000,749784,749784,1988027,1238243
189176,2018,3920400,254625,254625,388508,133883
68720,2018,13349580,725703,725703,1322931,597229
154034,2018,636000,42910,42910,63027,20117
18828,2018,15176000,1196423,1196423,1503928,307505
275008,2018,15990000,1249640,1249640,1564775,315135
191316,2018,28670000,1106541,1106541,2828189,1721649
101418,2018,6717000,297495,297495,659901,362405
89192,2018,16855800,1269539,1269539,1660980,391441
116825,2018,14160000,910423,910423,1403243,492820
204161,2018,94084996,4161837,4161837,9305901,5144063
181832,2018,33425000,2017856,2017856,3312387,1294532
154213,2018,4682000,118027,118027,463982,345955
281257,2018,25313000,1077108,1077108,2508495,1431387
170303,2018,5442000,303045,303045,539297,236252
215350,2018,33843604,2531051,2531051,3353871,822820
48043,2018,15332000,976324,976324,1511955,535631
101255,2018,4662000,102270,102270,462000,359730
32101,2018,59557000,4932757,4932757,5862405,929649
79444,2018,24953000,1150838,1150838,2463009,1312171
36284,2018,7776000,489252,489252,770595,281342
28181,2018,62116996,5142153,5142153,6155738,1013586
120422,2018,13850000,888523,888523,1372523,484000
278832,2018,37370000,1362811,1362811,3703333,2340523
98688,2018,10764000,745721,745721,1066703,320982
127614,2018,6012300,399270,399270,595814,196543
3547,2018,4497000,83739,83739,445649,361910
273057,2018,15569000,1104261,1104261,1542874,438613
151152,2018,17090162,874688,874688,1693620,818931
271870,2018,25474880,888820,888820,2524538,1635718
235737,2018,14139000,687450,687450,1401162,713712
18583,2018,12390000,790216,790216,1227838,437622
289155,2018,4471000,185514,185514,440595,255081
241972,2018,44879196,3434101,3434101,4447488,1013387
294492,2018,7849360,298126,298126,773504,475378
27755,2018,9432000,522351,522351,934703,412351
17260,2018,17199500,1085333,1085333,1684635,599302
34482,2018,217944000,21066685,21066685,21598054,531369
223035,2018,15590000,583099,583099,1541982,958883
276895,2018,54867000,4198829,4198829,5437270,1238441
192817,2018,3566820,104135,104135,353469,249333
96153,2018,14765800,883805,883805,1447223,563418
51154,2018,66414000,5513081,5513081,6581568,1068486
190993,2018,5263000,283423,283423,519973,236550
23516,2018,7822000,391441,391441,773766,382324
187545,2018,6025900,431547,431547,597161,165614
285118,2018,7899000,388270,388270,782784,394514
263802,2018,5061800,145656,145656,501620,355964
59968,2018,9476000,432964,432964,939063,506099
274925,2018,24052000,2147180,2147180,2370153,222973
254384,2018,4617400,278865,278865,457580,178715
110458,2018,131922000,7835964,7835964,13073351,5237387
136813,2018,24035000,1350027,1350027,2366982,1016955
258688,2018,133144000,9562865,9562865,13144901,3582036
159498,2018,11714000,480432,480432,1157973,677541
145576,2018,22315200,1101804,1101804,2211416,1109613
123144,2018,5857000,268955,268955,580423,311468
122365,2018,11901000,700532,700532,1179378,478847
84676,2018,37708000,2292162,2292162,3736829,1444667
219952,2018,59646000,4039775,4039775,5910865,1871090
181267,2018,16611000,1201973,1201973,1646135,444162
242123,2018,4641400,328157,328157,459959,131802
282089,2018,35288000,1947000,1947000,3497009,1550009
53797,2018,23383000,1298297,1298297,2308514,1010216
110325,2018,77879000,6250577,6250577,7717739,1467162
27391,2018,20793356,975993,975993,2060603,1084610
280873,2018,13217000,496288,496288,1218721,722432
97828,2018,31853300,2048507,2048507,3156633,1108126
291837,2018,5421168,255692,255692,537233,281541
262793,2018,28314480,2265703,2265703,2805939,540237
180143,2018,26894000,1069081,1069081,2665171,1596090
127558,2018,16385200,1282065,1282065,1618605,336541
72245,2018,20368000,1303153,1303153,2018450,715297
72655,2018,6140480,395306,395306,608516,213210
24428,2018,17196000,1341306,1341306,1704108,362802
271140,2018,29381000,1982775,1982775,2896964,914189
26207,2018,195498000,16036514,16036514,19373676,3337162
235880,2018,16316000,1007640,1007640,1616901,609261
114150,2018,39575000,1613532,1613532,3723649,2110117
203550,2018,17089000,868703,868703,1693505,824802
185355,2018,15541280,371820,371820,1540127,1168307
252346,2018,7736400,321914,321914,766670,444757
280247,2018,46637000,1529297,1529297,4621685,3092387
161872,2018,3803000,114559,114559,376874,262315
27902,2018,51438000,796360,796360,5097459,4301099
185318,2018,6831700,84502,84502,677015,592514
254389,2018,21056200,1546460,1546460,2086650,540190
61036,2018,10275200,426721,426721,1012218,585497
139509,2018,68655000,3058694,3058694,6783829,3725135
245034,2018,14054000,614811,614811,1392739,777928
200017,2018,7240000,191459,191459,707964,516505
235585,2018,9222000,391937,391937,913892,521955
250662,2018,12247000,576103,576103,1213667,637564
282009,2018,34754000,1677649,1677649,3435865,1758216
172903,2018,8255000,563378,563378,818063,254685
79215,2018,51506200,2957018,2957018,5104218,2147200
196466,2018,22463000,1843739,1843739,2226063,382324
264673,2018,25990300,1040650,1040650,2562832,1522182
94060,2018,18223800,1497665,1497665,1777818,280153
145459,2018,10094000,580423,580423,1000306,419883
106721,2018,11384600,427077,427077,1128204,701126
255572,2018,8377000,390649,390649,830153,439505
