id_n,Year,CONS_total,vat,VAT_Rate
46224,2018,96376480,3290159,3.4%
111128,2018,200293200,4253723,2.1%
155310,2018,11242200,456901,4.1%
61751,2018,321809000,14883750,4.6%
116321,2018,78174200,3097328,4.0%
19021,2018,53591696,2135051,4.0%
41852,2018,40524000,1040339,2.6%
181437,2018,36705500,1297610,3.5%
261141,2018,42666600,1517663,3.6%
197843,2018,540883300,46020641,8.5%
233635,2018,42713200,1052957,2.5%
15839,2018,30954800,1523515,4.9%
32358,2018,41947196,1636820,3.9%
111983,2018,26552000,1568025,5.9%
144391,2018,84762400,2406845,2.8%
101132,2018,18242920,627447,3.4%
149497,2018,12835400,443394,3.5%
261712,2018,17462400,834005,4.8%
178902,2018,35320000,1674171,4.7%
229654,2018,79834600,2556414,3.2%
52293,2018,66650800,2083085,3.1%
159469,2018,16566000,413441,2.5%
43623,2018,58720300,1913402,3.3%
52396,2018,49701600,2127305,4.3%
60130,2018,31649537,1088279,3.4%
77442,2018,29423500,1300826,4.4%
162324,2018,43903000,2113755,4.8%
167375,2018,41669760,1376288,3.3%
81954,2018,60827400,2226975,3.7%
113397,2018,22254480,759622,3.4%
154101,2018,5741000,153782,2.7%
255533,2018,8487000,264991,3.1%
109363,2018,33205000,1721946,5.2%
234894,2018,41421200,1310784,3.2%
267820,2018,65984200,2044456,3.1%
249592,2018,53926720,1975733,3.7%
232527,2018,53569360,2064590,3.9%
128685,2018,25995800,977166,3.8%
99566,2018,20241000,707032,3.5%
49609,2018,26305000,991092,3.8%
102924,2018,75983780,3286523,4.3%
231961,2018,49038800,2024741,4.1%
205678,2018,32639800,1214213,3.7%
44123,2018,34304800,954260,2.8%
128586,2018,72095000,3068885,4.3%
242859,2018,51032400,1998950,3.9%
274143,2018,18148400,615267,3.4%
84363,2018,61862360,2612902,4.2%
26692,2018,27087000,713879,2.6%
202540,2018,21852000,338919,1.6%
31384,2018,27830800,1090292,3.9%
183631,2018,73825800,3368820,4.6%
221840,2018,29932480,1002644,3.3%
258330,2018,50728700,2271861,4.5%
226955,2018,42759000,997928,2.3%
189176,2018,19572400,826546,4.2%
68720,2018,37187940,1163505,3.1%
154034,2018,6252000,128928,2.1%
18828,2018,40838000,1772827,4.3%
275008,2018,29822000,1754757,5.9%
191316,2018,64001400,1395323,2.2%
101418,2018,23627400,872364,3.7%
89192,2018,40671800,1796409,4.4%
116825,2018,42432400,2341447,5.5%
204161,2018,155531836,4563946,2.9%
181832,2018,63689000,2694032,4.2%
154213,2018,20880000,289995,1.4%
281257,2018,60933000,1623440,2.7%
170303,2018,16029720,295059,1.8%
215350,2018,74943364,3679053,4.9%
48043,2018,43198800,1853768,4.3%
101255,2018,8902548,126133,1.4%
32101,2018,77081000,5425135,7.0%
79444,2018,63329000,2286865,3.6%
36284,2018,23407200,676315,2.9%
28181,2018,97450996,5889133,6.0%
120422,2018,26681000,1028676,3.9%
278832,2018,68405160,2411503,3.5%
98688,2018,48370400,2740805,5.7%
127614,2018,27618040,875006,3.2%
3547,2018,15469000,286694,1.9%
273057,2018,27653800,1300020,4.7%
151152,2018,36046190,1240946,3.4%
271870,2018,44548480,887126,2.0%
235737,2018,81614200,2959495,3.6%
18583,2018,31900400,1312645,4.1%
289155,2018,16587000,360813,2.2%
241972,2018,68539196,3834461,5.6%
294492,2018,25721760,666062,2.6%
27755,2018,29935600,832175,2.8%
17260,2018,83915500,3542079,4.2%
34482,2018,298986000,22654699,7.6%
223035,2018,35298520,723232,2.0%
276895,2018,87012048,5694091,6.5%
192817,2018,19135620,525647,2.7%
96153,2018,28147480,1091334,3.9%
51154,2018,103549800,5874277,5.7%
