id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
46224,2018,96376480,4560213,4560213,4930424,370211
111128,2018,200293200,4788858,4788858,5177632,388775
155310,2018,11242200,480685,480685,519780,39095
61751,2018,321809000,16072939,16072939,17377703,1304764
116321,2018,78174200,3335166,3335166,3605988,270822
19021,2018,53591696,2372888,2372888,2565520,192632
41852,2018,40524000,1395906,1395906,1509245,113338
181437,2018,36705500,1345178,1345178,1454551,109373
261141,2018,42666600,1888690,1888690,2041993,153303
197843,2018,540883300,46501073,46501073,50275511,3774438
233635,2018,42713200,1105281,1105281,1195153,89871
15839,2018,30954800,1585353,1585353,1714118,128765
32358,2018,41947196,1696279,1696279,1833964,137685
111983,2018,26552000,1615593,1615593,1746729,131136
144391,2018,84762400,2466305,2466305,2666494,200190
101132,2018,18242920,746366,746366,806952,60587
149497,2018,12835400,527827,527827,570676,42849
261712,2018,17462400,864924,864924,935169,70244
178902,2018,35320000,1844225,1844225,1993924,149699
229654,2018,79834600,3269928,3269928,3535369,265441
52293,2018,66650800,2388706,2388706,2582659,193952
159469,2018,16566000,484793,484793,524200,39407
43623,2018,58720300,2067996,2067996,2235888,167891
52396,2018,49701600,2543521,2543521,2749995,206474
60130,2018,31649537,1132279,1132279,1224200,91920
77442,2018,29423500,1351961,1351961,1461708,109747
162324,2018,43903000,2235052,2235052,2416474,181421
167375,2018,41669760,1447639,1447639,1565162,117523
81954,2018,60827400,2436272,2436272,2634021,197749
113397,2018,22254480,788163,788163,852197,64034
154101,2018,5741000,162106,162106,175264,13158
255533,2018,8487000,279261,279261,301929,22667
109363,2018,33205000,1751676,1751676,1893857,142181
234894,2018,41421200,1341703,1341703,1450607,108904
267820,2018,65984200,2100348,2100348,2270840,170493
249592,2018,53926720,2236166,2236166,2417697,181531
232527,2018,53569360,2441563,2441563,2639766,198203
128685,2018,25995800,1021166,1021166,1104102,82936
99566,2018,20241000,766492,766492,828707,62215
49609,2018,26305000,1014876,1014876,1097319,82443
102924,2018,75983780,3393550,3393550,3669000,275450
231961,2018,49038800,2068741,2068741,2236751,168010
205678,2018,32639800,1232051,1232051,1332113,100063
44123,2018,34304800,1262260,1262260,1364740,102481
128586,2018,72095000,3455371,3455371,3735859,280488
242859,2018,51032400,2111923,2111923,2283355,171432
274143,2018,18148400,615267,615267,665207,49940
84363,2018,61862360,2866200,2866200,3098846,232646
26692,2018,27087000,773339,773339,836132,62793
202540,2018,21852000,350811,350811,379286,28475
31384,2018,27830800,1142616,1142616,1235381,92764
183631,2018,73825800,3612604,3612604,3905864,293260
221840,2018,29932480,1047834,1047834,1132892,85058
258330,2018,50728700,2337266,2337266,2527053,189787
226955,2018,42759000,1177495,1177495,1273071,95576
189176,2018,19572400,834870,834870,902636,67765
68720,2018,37187940,1440586,1440586,1557580,116994
154034,2018,6252000,140820,140820,152250,11430
18828,2018,40838000,1841800,1841800,1991316,149516
275008,2018,29822000,1790433,1790433,1935809,145376
191316,2018,64001400,1650998,1650998,1785101,134103
101418,2018,23627400,899715,899715,972769,73053
89192,2018,40671800,2012842,2012842,2176330,163488
116825,2018,42432400,2381285,2381285,2574586,193301
204161,2018,155531836,4950432,4950432,5353335,402903
181832,2018,63689000,3029383,3029383,3275301,245918
154213,2018,20880000,318535,318535,344395,25860
281257,2018,60933000,1769710,1769710,1913507,143797
170303,2018,16029720,433005,433005,468162,35156
215350,2018,74943364,4116675,4116675,4450826,334151
48043,2018,43198800,1907281,1907281,2062201,154920
101255,2018,8902548,171323,171323,185229,13906
32101,2018,77081000,5567838,5567838,6019797,451959
79444,2018,63329000,2410541,2410541,2606226,195685
36284,2018,23407200,704856,704856,762088,57232
28181,2018,97450996,6126971,6126971,6624295,497324
120422,2018,26681000,1147595,1147595,1240756,93161
