,weight,CONS_total,vatax,table_row
19696,10831.392450907511,2312916.8253903994,130648.31154489295,1
14309,10831.392450907511,2770019.047180224,268422.8946285982,1
8737,10831.392450907511,3317175.3538263584,189265.1341659603,1
17385,10831.392450907511,3426892.451281219,157641.76434342453,1
13844,10831.392450907511,3521909.40513205,381795.39638243086,1
468,10831.392450907511,3673661.688864887,144684.9070001294,1
6888,10831.392450907511,4047643.707637269,402699.1262296138,1
19957,10831.392450907511,4090519.126482354,280308.65176484763,1
2358,10831.392450907511,4531759.013827661,314851.63344207266,1
18670,10831.392450907511,4600862.252991903,231539.04072468463,1
15675,10831.392450907511,4625519.545148234,360019.23814079957,1
16185,10831.392450907511,4720615.025407206,214539.64389028138,1
12381,10831.392450907511,4809459.803578141,526017.3116801599,1
3547,10831.392450907511,4821128.827827919,297359.8760286241,1
8254,10831.392450907511,4944022.656568872,201824.647884061,1
4773,10831.392450907511,4952303.26630736,184777.7425727324,1
4183,10831.392450907511,4976611.115947462,535981.9987676435,1
7727,10831.392450907511,5077910.182449589,333811.83468776115,1
19432,10831.392450907511,5113639.698153826,231625.41977363994,1
17137,10831.392450907511,5182742.937318066,262160.41357933887,1
1744,10831.392450907511,5234099.2082424015,394389.4617201139,1
12788,10831.392450907511,5239674.583220425,536413.8940124201,1
15883,10831.392450907511,5374740.00522326,227090.51970348667,1
17750,10831.392450907511,5450714.305099853,255962.71681679608,1
3839,10831.392450907511,5552209.687622332,565610.0125593117,1
1869,10831.392450907511,5646048.745351044,564703.032545281,1
7673,10831.392450907511,5669606.667793401,592992.1710781422,1
13789,10831.392450907511,5732820.426347054,622188.289625034,1
3187,10831.392450907511,5770960.702781225,570885.1810790119,1
16474,10831.392450907511,5837417.601991109,273096.00117708003,1
9040,10831.392450907511,5908405.474950737,350806.9125697167,1
6396,10831.392450907511,6027687.088917195,647497.3509689372,1
2599,10831.392450907511,6030042.881161429,340290.2633594087,1
12768,10831.392450907511,6034440.360017337,639299.9792230792,1
7118,10831.392450907511,6047161.638136209,348366.7044367295,1
2650,10831.392450907511,6047711.322993197,241774.95802588787,1
7960,10831.392450907511,6152151.4458209695,266047.47078232747,1
17687,10831.392450907511,6168013.780265489,377502.3576493524,1
19013,10831.392450907511,6231855.75008427,215429.34809452097,1
4107,10831.392450907511,6288434.027149992,261788.98366883112,1
3961,10831.392450907511,6311795.633571994,419758.9883982859,1
13473,10831.392450907511,6372260.967840705,260260.0745023223,1
11185,10831.392450907511,6407558.588300168,280926.261964878,1
3388,10831.392450907511,6418355.969419578,362360.1103674882,1
18871,10831.392450907511,6427386.506355816,343399.9091217996,1
10268,10831.392450907511,6533475.683754554,384516.33642452303,1
2706,10831.392450907511,6567556.144887827,691766.613558529,1
682,10831.392450907511,6605955.558468865,448480.02217592334,1
2340,10831.392450907511,6680241.540570424,372475.09700015397,1
14863,10831.392450907511,6725786.85729231,350698.9387585226,1
7962,10831.392450907511,6732854.234025016,310662.2495677406,1
1649,10831.392450907511,6742670.035042666,249894.58862768614,1
12416,10831.392450907511,6791749.040130905,419802.17792276334,1
7433,10831.392450907511,6806669.057677728,363223.90085704136,1
9191,10831.392450907511,6865956.495824321,517842.3984870301,1
17525,10831.392450907511,6868704.920109263,319559.2916101365,1
1201,10831.392450907511,6884410.2017375,332472.9594289541,1
16201,10831.392450907511,6884488.728145639,526532.1308119334,1
16572,10831.392450907511,6920139.717441738,371861.8057525714,1
7347,10831.392450907511,6994739.805175862,449171.0545675658,1
5264,10831.392450907511,7004751.922213862,523672.9842915131,1
1477,10831.392450907511,7015941.93537398,755557.5412120188,1
10770,10831.392450907511,7022616.680065981,466965.13865235785,1
9166,10831.392450907511,7053634.611281748,744587.4019946955,1
18270,10831.392450907511,7087008.334741751,777411.4405977099,1
991,10831.392450907511,7108603.096980576,411337.031125144,1
15504,10831.392450907511,7150811.041356462,431031.4542869526,1
1418,10831.392450907511,7157289.47002811,500868.9153673136,1
585,10831.392450907511,7164356.846760817,274339.8594820363,1
19656,10831.392450907511,7190741.719896254,424898.5418111262,1
14894,10831.392450907511,7194785.829915524,420925.10555918235,1
872,10831.392450907511,7206368.475116349,541207.9312294391,1
16816,10831.392450907511,7230711.661640115,362014.59417166695,1
13956,10831.392450907511,7240134.830617059,557576.7610064687,1
14809,10831.392450907511,7267815.389486824,320984.54591789906,1
3663,10831.392450907511,7306018.487047509,531231.1510751018,1
7039,10831.392450907511,7306882.277537062,221778.20819273562,1
14998,10831.392450907511,7321236.904945272,771216.335206636,1
5977,10831.392450907511,7338292.840793536,762295.1070305324,1
17911,10831.392450907511,7338999.578466807,438416.8629726308,1
10947,10831.392450907511,7360908.446338198,536932.1683061519,1
15829,10831.392450907511,7404647.655672837,412459.9587615629,1
11625,10831.392450907511,7409202.187345024,409773.570339053,1
8268,10831.392450907511,7440769.80341778,272482.7099294974,1
6354,10831.392450907511,7447837.1801504865,249592.26195634258,1
2733,10831.392450907511,7456867.71708672,456426.89467981114,1
17107,10831.392450907511,7514584.627070492,447357.0945395044,1
19366,10831.392450907511,7566804.688484377,446363.73547651846,1
8188,10831.392450907511,7590362.610926733,518231.10420732904,1
4068,10831.392450907511,7590362.610926733,518231.10420732904,1
8484,10831.392450907511,7600571.0439850865,661577.1359486514,1
8904,10831.392450907511,7613213.795695817,321286.87258924247,1
12775,10831.392450907511,7637871.08785215,526048.4081377839,1
6845,10831.392450907511,7654754.265602503,493483.5066816354,1
8232,10831.392450907511,7683809.03661474,504669.59352134686,1
15897,10831.392450907511,7690483.781306742,285957.8415665243,1
19647,10831.392450907511,7691661.677428861,479187.7740795331,1
10862,10831.392450907511,7738777.52231357,456686.03182667703,1
13815,10831.392450907511,7787463.895361101,432543.0876436703,1
17668,10831.392450907511,7787463.895361101,432543.0876436703,1
15568,10831.392450907511,7826334.467390989,459147.8347219031,1
16347,10831.392450907511,7897981.962179003,423516.47702784144,1
6881,10831.392450907511,8007730.470197121,407536.3529711106,1
4352,10831.392450907511,8046679.568635147,377476.443934666,1
8297,10831.392450907511,8077618.973442772,541639.8264742157,1
14145,10831.392450907511,8123556.922205363,435782.30197949405,1
2031,10831.392450907511,8140125.994323154,378469.80299765186,1
3124,10831.392450907511,8140125.994323154,378469.80299765186,1
18153,10831.392450907511,8163212.758316662,489034.98566043726,1
12155,10831.392450907511,8171065.39913078,658683.4378086487,1
2160,10831.392450907511,8275584.048366696,460879.7346534569,1
6178,10831.392450907511,8298199.653911355,473875.462568782,1
15901,10831.392450907511,8324977.159087497,268595.6527265088,1
3295,10831.392450907511,8364632.995198796,380456.52112362377,1
8932,10831.392450907511,8402325.671106562,815418.2221380426,1
18291,10831.392450907511,8402325.671106562,815418.2221380426,1
8437,10831.392450907511,8425098.329467507,425416.816104858,1
1880,10831.392450907511,8435699.394566568,333595.88706537295,1
16112,10831.392450907511,8438055.186810803,868584.5267700304,1
1690,10831.392450907511,8473392.070474338,628062.0649539946,1
17732,10831.392450907511,8537485.324799167,289672.14067160233,1
14469,10831.392450907511,8550740.582493398,587463.9119450031,1
7556,10831.392450907511,8606101.700232934,519872.3061374797,1
17627,10831.392450907511,8615760.448434299,304624.3540457649,1
4503,10831.392450907511,8616310.133291287,608324.452267708,1
4361,10831.392450907511,8628324.673736889,202774.81742256938,1
15852,10831.392450907511,8653806.493178703,508362.2978641858,1
19758,10831.392450907511,8654709.546872325,560600.0277199042,1
11521,10831.392450907511,8663425.978175996,768030.6758811644,1
19909,10831.392450907511,8708186.03081647,539566.7292992884,1
10599,10831.392450907511,8719964.992037646,649700.0167172974,1
12837,10831.392450907511,8736062.90570659,563666.4839578174,1
821,10831.392450907511,8786319.806916947,497284.18483566854,1
16950,10831.392450907511,8786704.58631684,400340.9781931341,1
5038,10831.392450907511,8809524.360522669,555716.1562919716,1
17481,10831.392450907511,8898534.044150699,575275.8281374099,1
7888,10831.392450907511,8898534.044150699,575275.8281374099,1
9472,10831.392450907511,8902185.522129264,597276.5719063252,1
1576,10831.392450907511,8912747.32402425,534427.1758864479,1
18127,10831.392450907511,8947298.943606373,391858.55558572354,1
17765,10831.392450907511,8953973.688298374,754952.8878693318,1
11178,10831.392450907511,8959627.589684539,498804.45609728195,1
4760,10831.392450907511,8977531.610740727,442217.54112666403,1
1770,10831.392450907511,8984402.671453081,540300.9512154085,1
11464,10831.392450907511,9042315.897457201,670517.367515525,1
7280,10831.392450907511,9042315.897457201,670517.367515525,1
1467,10831.392450907511,9057314.441412168,321986.5428857805,1
8046,10831.392450907511,9082992.576874338,555270.4403993621,1
16736,10831.392450907511,9162853.93395392,605344.3750787502,1
5193,10831.392450907511,9177381.319460038,381838.5859069086,1
5015,10831.392450907511,9177773.951500744,768557.5880797916,1
16925,10831.392450907511,9223044.425794138,470809.0063308687,1
12043,10831.392450907511,9226265.971688129,629314.5611638464,1
2497,10831.392450907511,9257478.255764047,342320.1710098584,1
17163,10831.392450907511,9280839.862186048,429044.7361609806,1
6584,10831.392450907511,9280839.862186048,429044.7361609806,1
15147,10831.392450907511,9290459.34718334,487436.9732547642,1
2734,10831.392450907511,9302238.30840452,375532.9153331716,1
18768,10831.392450907511,9303553.625740884,560513.6486709489,1
10303,10831.392450907511,9313232.005544284,991199.5867620803,1
15008,10831.392450907511,9326974.126968991,524968.6700258426,1
11622,10831.392450907511,9333531.082048783,578553.9130452635,1
